fpr,tpr,threshold
0.0,0.0,-inf
0.0,0.0,0.07077692401973112
0.0,0.0005,0.07198915045676446
0.0,0.001,0.07245299122214155
0.0,0.0015,0.07658285724227354
0.0,0.002,0.10797104965696114
0.0,0.0025,0.11252972288446661
0.0,0.003,0.11923667356374212
0.0,0.0035,0.11981513336360283
0.0,0.004,0.12539645455740833
0.0,0.0045,0.13144471391850054
0.0,0.005,0.1341211826456058
0.0,0.0055,0.13450412829301317
0.0,0.006,0.13498800344820716
0.0,0.0065,0.13525123740235723
0.0,0.007,0.13680614439955896
0.0,0.0075,0.13783841209919656
0.0,0.008,0.14142058111315592
0.0,0.0085,0.14349860928336455
0.0,0.009,0.14757832528505155
0.0,0.0095,0.1570349914849063
0.0,0.01,0.1586371417668555
0.0,0.0105,0.1591644435282522
0.0,0.011,0.16343118724147887
0.0,0.0115,0.16594561354217408
0.0,0.012,0.16605440545667627
0.0,0.0125,0.16632973172136034
0.0,0.013,0.17006402714918045
0.0,0.0135,0.17025572642779685
0.0,0.014,0.1711928452116922
0.0,0.0145,0.17260201816719523
0.0,0.015,0.17514936994062236
0.0,0.0155,0.17559513323463372
0.0,0.016,0.176330589671863
0.0,0.0165,0.17648888519396466
0.0,0.017,0.1770758424095874
0.0,0.0175,0.17818253789865368
0.0,0.018,0.18073591417274548
0.0,0.0185,0.1819417457087732
0.0,0.019,0.18314609170670682
0.0,0.0195,0.18511510438054446
0.0,0.02,0.18535927792619022
0.0,0.0205,0.18556158597668404
0.0,0.021,0.18883296185310072
0.0,0.0215,0.18903175997510124
0.0,0.022,0.19162699302070674
0.0,0.0225,0.19204345025771152
0.0,0.023,0.1920596382528026
0.0,0.0235,0.1922252771202384
0.0,0.024,0.1940269597071741
0.0,0.0245,0.19488660689022663
0.0,0.025,0.19548030941208883
0.0,0.0255,0.19558226075446883
0.0,0.026,0.1972366652829023
0.0,0.0265,0.19816874952509933
0.0,0.027,0.20068626884776952
0.0,0.0275,0.2020922867467454
0.0,0.028,0.20211954758838147
0.0,0.0285,0.20256565567586027
0.0,0.029,0.20458927768060509
0.0,0.0295,0.20649307841134468
0.0,0.03,0.20651122674167677
0.0,0.0305,0.20691541623385468
0.0,0.031,0.2070303386786564
0.0,0.0315,0.21051027509763853
0.0,0.032,0.21072080511711033
0.0,0.0325,0.21460618699529044
0.0,0.033,0.2150757129240568
0.0,0.0335,0.21514498056663867
0.0,0.034,0.2151596959737868
0.0,0.0345,0.2152386771044027
0.0,0.035,0.21650970262427405
0.0,0.0355,0.21670656246252562
0.0,0.036,0.2172382130519056
0.0,0.0365,0.21804507307902543
0.0,0.037,0.2182969761124054
0.0,0.0375,0.21852987955706815
0.0,0.038,0.21921229084507843
0.0,0.0385,0.22041224591303998
0.0,0.039,0.22073729083024785
0.0,0.0395,0.223121215942245
0.0,0.04,0.2234481028103127
0.0,0.0405,0.22400425000993052
0.0,0.041,0.22537440726405678
0.0,0.0415,0.22691903259531465
0.0,0.042,0.2272655195658263
0.0,0.0425,0.2281908765431676
0.0,0.043,0.22826406318102976
0.0,0.0435,0.2287179378982097
0.0,0.044,0.2293465250113791
0.0,0.0445,0.2295294010457225
0.0,0.045,0.23075378679564362
0.0,0.0455,0.2313507996825689
0.0,0.046,0.23290907024586271
0.0,0.0465,0.23317588897369634
0.0,0.047,0.23362023696871304
0.0,0.0475,0.2337330277801768
0.0,0.048,0.23513842266453733
0.0,0.0485,0.23661268819350512
0.0,0.049,0.23906122821513187
0.0,0.0495,0.23945155006132013
0.0,0.05,0.24085909996416466
0.0,0.0505,0.24132303091203988
0.0,0.051,0.24193466439931233
0.0,0.0515,0.2422704095852286
0.0,0.052,0.24236093089242405
0.0,0.0525,0.2429134377445865
0.0,0.053,0.2442741448913427
0.0,0.0535,0.244941538453457
0.0,0.054,0.24508475704635735
0.0,0.0545,0.24514913125884963
0.0,0.055,0.24542204189934336
0.0,0.0555,0.24631277671021945
0.0,0.056,0.24669751134317908
0.0,0.0565,0.24710436759588073
0.0,0.057,0.2474622396916195
0.0,0.0575,0.24779814202448025
0.0,0.058,0.24811886718245602
0.0,0.0585,0.24831658138094725
0.0,0.059,0.2489183990042172
0.0,0.0595,0.24951180291148578
0.0,0.06,0.24970688344647007
0.0,0.0605,0.24994368521628552
0.0,0.061,0.25004480229583925
0.0,0.0615,0.25039913899149
0.0,0.062,0.2504338058162937
0.0,0.0625,0.25154511930029666
0.0,0.063,0.2517481171760405
0.0,0.0635,0.25274435220941116
0.0,0.064,0.25283113950964153
0.0,0.0645,0.25471833112272535
0.0,0.065,0.25541480170239605
0.0,0.0655,0.2555058060196703
0.0,0.066,0.25588360931896137
0.0,0.0665,0.2559491384799427
0.0,0.067,0.2563098732871487
0.0,0.0675,0.2571251590399479
0.0,0.068,0.25764075940026565
0.0,0.0685,0.25775757036623037
0.0,0.069,0.2579094750817231
0.0,0.0695,0.25932517549633705
0.0,0.07,0.2594674885420629
0.0,0.0705,0.2598141145411742
0.0,0.071,0.260014936179645
0.0,0.0715,0.26101869994831295
0.0,0.072,0.26229551334095713
0.0,0.0725,0.2623378751861275
0.0,0.073,0.2631671708051645
0.0,0.0735,0.2658318365632869
0.0,0.074,0.26621782230752655
0.0,0.0745,0.2686203192431077
0.0,0.075,0.2690954711670226
0.0,0.0755,0.26929774442680454
0.0,0.076,0.2696665287064993
0.0,0.0765,0.27016202200748596
0.0,0.077,0.2702736510992517
0.0,0.0775,0.27049248852801344
0.0,0.078,0.2705089799572806
0.0,0.0785,0.27186295024251095
0.0,0.079,0.27192468783161483
0.0,0.0795,0.2723512921267657
0.0,0.08,0.27248959214772606
0.0,0.0805,0.2726068602974355
0.0,0.081,0.2728598361852764
0.0,0.0815,0.27348447796147257
0.0,0.082,0.2743167452132379
0.0,0.0825,0.2744376842894981
0.0,0.083,0.27464344478011227
0.0,0.0835,0.27481640207656266
0.0,0.084,0.2759819253951502
0.0,0.0845,0.27605066136263956
0.0,0.085,0.27786297328309695
0.0,0.0855,0.27805671523721276
0.0,0.086,0.27842422376392706
0.0,0.0865,0.27894364620893
0.0,0.087,0.2789688383637148
0.0,0.0875,0.27917727840290996
0.0,0.088,0.27993071708929473
0.0,0.0885,0.28002557988551746
0.0,0.089,0.28091108173624946
0.0,0.0895,0.2809220877382054
0.0,0.09,0.2809298675909855
