fpr,tpr,threshold
0.0,0.0,-inf
0.0,0.0,0.1882112274852151
0.0,0.0005102040816326531,0.19618651330958187
0.0,0.0010204081632653062,0.2020613076446207
0.0,0.001530612244897959,0.21670151315835784
0.0,0.0020408163265306124,0.22060947638029532
0.0,0.002551020408163265,0.22846144082892075
0.0,0.003061224489795918,0.23055410251645642
0.0,0.0035714285714285713,0.23266170563673755
0.0,0.004081632653061225,0.23349505151954547
0.0,0.004591836734693878,0.24500137365392283
0.0,0.00510204081632653,0.24603418937812088
0.0,0.005612244897959183,0.24628736045323377
0.0,0.006122448979591836,0.24662228473358813
0.0,0.0066326530612244895,0.2514054543724795
0.0,0.007142857142857143,0.25498788059169575
0.0,0.007653061224489796,0.2556190169526908
0.0,0.00816326530612245,0.2568093637162222
0.0,0.008673469387755102,0.25795767442925693
0.0,0.009183673469387756,0.25930412730345437
0.0,0.009693877551020408,0.25970373453149626
0.0,0.01020408163265306,0.26046504179349056
0.0,0.010714285714285714,0.2609243992540441
0.0,0.011224489795918367,0.2613233124286608
0.0,0.01173469387755102,0.2632549435785931
0.0,0.012244897959183673,0.2642556749933701
0.0,0.012755102040816327,0.26515467744577864
0.0,0.013265306122448979,0.26626232816539863
0.0,0.013775510204081633,0.2672202467115653
0.0,0.014285714285714285,0.2673118184106636
0.0,0.01479591836734694,0.2680776862684353
0.0,0.015306122448979591,0.2693696493023698
0.0,0.015816326530612244,0.2714556796152551
0.0,0.0163265306122449,0.2766752623254463
0.0,0.01683673469387755,0.2774809891253017
0.0,0.017346938775510204,0.2781920961179738
0.0,0.017857142857142856,0.28038990803005714
0.0,0.018367346938775512,0.2806491502371798
0.0,0.018877551020408164,0.2815670195696174
0.0,0.019387755102040816,0.2827168166028101
0.0,0.01989795918367347,0.2834509482242341
0.0,0.02040816326530612,0.2835511389439812
0.0,0.020918367346938777,0.2835914752309714
0.0,0.02142857142857143,0.2847685985698434
0.0,0.02193877551020408,0.2853221193349776
0.0,0.022448979591836733,0.28671528459721163
0.0,0.02295918367346939,0.2867400259676716
0.0,0.02346938775510204,0.2872128863695631
0.0,0.023979591836734693,0.28798470431663953
0.0,0.024489795918367346,0.288744499409355
0.0,0.025,0.2898683797866278
0.0,0.025510204081632654,0.2900309630832417
0.0,0.026020408163265306,0.2905230655639448
0.0,0.026530612244897958,0.29073353123305384
0.0,0.027040816326530614,0.29106923929629985
0.0,0.027551020408163266,0.29193813933242574
0.0,0.02806122448979592,0.29329701397149155
0.0,0.02857142857142857,0.2934042279922496
0.0,0.029081632653061223,0.29370407423094796
